n,test_used,statistic,p_value,mean_before,mean_after,mean_diff,std_diff,effect_size_dz,normality_p,metric,p_value_fdr_bh,significant_fdr_0_05
10,paired_t_test,-0.24925138598825694,0.8087616450879975,2562.85,2526.6,-36.25,459.907433319165,-0.07882020896766707,0.19734694309805778,DMSMDLAD,1.0,False
10,paired_t_test,-0.2338648651506343,0.8203228697892484,2.0,1.7,-0.3,4.056544780420347,-0.07395456385641413,0.10699193641490262,SWMBE8,1.0,False
10,paired_t_test,-0.19921452813853727,0.8465229045742406,2.2,1.9,-0.3,4.7621190427978375,-0.06299716519134813,0.05841947074735542,SWMTE8,1.0,False
10,paired_t_test,0.10627610181335388,0.9176944460063864,2703.16295,2721.55231,18.389360000000078,547.1809872639424,0.03360745425741492,0.0731238982866052,DMSML,1.0,False
8,paired_t_test,-0.09245003270420485,0.9289307328831946,6.875,6.625,-0.25,7.648529270389178,-0.03268602252303067,0.10500152326534001,PALTEA,1.0,False
10,wilcoxon,27.0,1.0,1007.45234,1215.67044,208.2181,1064.8005896673308,0.19554656714178972,0.002387842988859884,DMSL12SD,1.0,False
10,wilcoxon,7.5,1.0,92.0,92.0,0.0,18.856180831641268,0.0,0.045030409840928896,DMSPC0,1.0,False
10,wilcoxon,0.0,1.0,98.0,96.0,-2.0,6.324555320336759,-0.31622776601683794,1.0036928213864587e-07,DMSPC4,1.0,False
10,wilcoxon,0.0,1.0,100.0,98.0,-2.0,6.324555320336759,-0.31622776601683794,1.0036928213864587e-07,DMSPCS,1.0,False
10,wilcoxon,7.5,1.0,4.6,4.6,0.0,0.9428090415820634,0.0,0.045030409840928896,DMSTC0,1.0,False
10,wilcoxon,0.0,1.0,4.9,4.8,-0.1,0.31622776601683794,-0.31622776601683794,1.0036928213864587e-07,DMSTC4,1.0,False
10,wilcoxon,0.0,1.0,5.0,4.9,-0.1,0.31622776601683794,-0.31622776601683794,1.0036928213864587e-07,DMSTCS,1.0,False
10,constant_no_change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,DMSTED,1.0,False
10,constant_no_change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,DMSTEDAD,1.0,False
10,constant_no_change,0.0,1.0,10.0,10.0,0.0,0.0,0.0,,MOTTC,1.0,False
10,constant_no_change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,MOTTE,1.0,False
9,wilcoxon,1.0,1.0,8.222222222222221,8.0,-0.2222222222222222,1.5634719199411433,-0.14213381090374028,0.0002664433570554019,PALNPR,1.0,False
10,constant_no_change,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,PALTA2,1.0,False
10,constant_no_change,0.0,1.0,1.1,1.1,0.0,0.0,0.0,,PALTA4,1.0,False
10,wilcoxon,4.0,1.0,1.3,1.4,0.1,0.8755950357709131,0.11420804814403215,0.0029458393826291974,PALTA6,1.0,False
10,constant_no_change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,PALTE2,1.0,False
10,constant_no_change,0.0,1.0,0.1,0.1,0.0,0.0,0.0,,PALTE4,1.0,False
10,constant_no_change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,PALTEA2,1.0,False
10,constant_no_change,0.0,1.0,0.1,0.1,0.0,0.0,0.0,,PALTEA4,1.0,False
10,constant_no_change,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,RTIFESNR,1.0,False
