metric,n,test_used,mean_before,mean_after,mean_diff,effect_size_dz,p_value,p_value_fdr_bh,significant_fdr_0_05
DMSPCS,10,wilcoxon,100.0,98.0,-2.0,-0.31622776601683794,1.0,1.0,False
DMSTC0,10,wilcoxon,4.6,4.6,0.0,0.0,1.0,1.0,False
DMSTC4,10,wilcoxon,4.9,4.8,-0.1,-0.31622776601683794,1.0,1.0,False
DMSTCS,10,wilcoxon,5.0,4.9,-0.1,-0.31622776601683794,1.0,1.0,False
DMSTED,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
DMSTEDAD,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
MOTTC,10,constant_no_change,10.0,10.0,0.0,0.0,1.0,1.0,False
MOTTE,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
PALNPR,9,wilcoxon,8.222222222222221,8.0,-0.2222222222222222,-0.14213381090374028,1.0,1.0,False
PALTA2,10,constant_no_change,1.0,1.0,0.0,0.0,1.0,1.0,False
PALTA4,10,constant_no_change,1.1,1.1,0.0,0.0,1.0,1.0,False
PALTA6,10,wilcoxon,1.3,1.4,0.1,0.11420804814403215,1.0,1.0,False
PALTE2,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
PALTE4,10,constant_no_change,0.1,0.1,0.0,0.0,1.0,1.0,False
PALTEA2,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
PALTEA4,10,constant_no_change,0.1,0.1,0.0,0.0,1.0,1.0,False
RTIFESNR,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
RTIFESPR,10,wilcoxon,0.2,0.1,-0.1,-0.31622776601683794,1.0,1.0,False
SWMBE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMBE6,10,wilcoxon,0.3,1.0,0.7,0.27088319221936796,1.0,1.0,False
SWMDE,8,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMDE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMDE6,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMDE8,10,wilcoxon,0.0,0.5,0.5,0.31622776601683794,1.0,1.0,False
SWMTE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMTE6,10,wilcoxon,0.3,1.0,0.7,0.27088319221936796,1.0,1.0,False
SWMWE,8,wilcoxon,0.25,0.0,-0.25,-0.35355339059327373,1.0,1.0,False
SWMWE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMWE6,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMWE8,10,wilcoxon,0.2,0.7,0.5,0.21107926341908756,1.0,1.0,False
